# Wavelength (um)  Transmission
  1.150000         0.0000
  1.150150         0.0000
  1.150300         0.0000
  1.150450         0.0000
  1.150600         0.0000
  1.150750         0.0000
  1.150900         0.0000
  1.151050         0.0000
  1.151200         0.0000
  1.151350         0.0000
  1.151500         0.0000
  1.151650         0.0000
  1.151800         0.0000
  1.151950         0.0000
  1.152100         0.0000
  1.152250         0.0000
  1.152400         0.0000
  1.152550         0.0000
  1.152700         0.0000
  1.152850         0.0000
  1.153000         0.0000
  1.153150         0.0000
  1.153300         0.0000
  1.153450         0.0000
  1.153600         0.0000
  1.153750         0.0000
  1.153900         0.0000
  1.154050         0.0000
  1.154200         0.0000
  1.154350         0.0000
  1.154500         0.0000
  1.154650         0.0000
  1.154800         0.0000
  1.154950         0.0000
  1.155100         0.0000
  1.155250         0.0000
  1.155400         0.0000
  1.155550         0.0000
  1.155700         0.0000
  1.155850         0.0000
  1.156000         0.0000
  1.156150         0.0000
  1.156300         0.0000
  1.156450         0.0000
  1.156600         0.0000
  1.156750         0.0000
  1.156900         0.0000
  1.157050         0.0000
  1.157200         0.0000
  1.157350         0.0000
  1.157500         0.0000
  1.157650         0.0000
  1.157800         0.0000
  1.157950         0.0000
  1.158100         0.0000
  1.158250         0.0000
  1.158400         0.0000
  1.158550         0.0000
  1.158700         0.0000
  1.158850         0.0000
  1.159000         0.0000
  1.159150         0.0000
  1.159300         0.0000
  1.159450         0.0000
  1.159600         0.0000
  1.159750         0.0000
  1.159900         0.0000
  1.160050         1.0000
  1.160200         1.0000
  1.160350         1.0000
  1.160500         1.0000
  1.160650         1.0000
  1.160800         1.0000
  1.160950         1.0000
  1.161100         1.0000
  1.161250         1.0000
  1.161400         1.0000
  1.161550         1.0000
  1.161700         1.0000
  1.161850         1.0000
  1.162000         1.0000
  1.162150         1.0000
  1.162300         1.0000
  1.162450         1.0000
  1.162600         1.0000
  1.162750         1.0000
  1.162900         1.0000
  1.163050         1.0000
  1.163200         1.0000
  1.163350         1.0000
  1.163500         1.0000
  1.163650         1.0000
  1.163800         1.0000
  1.163950         1.0000
  1.164100         1.0000
  1.164250         1.0000
  1.164400         1.0000
  1.164550         1.0000
  1.164700         1.0000
  1.164850         1.0000
  1.165000         1.0000
  1.165150         1.0000
  1.165300         1.0000
  1.165450         1.0000
  1.165600         1.0000
  1.165750         1.0000
  1.165900         1.0000
  1.166050         1.0000
  1.166200         1.0000
  1.166350         1.0000
  1.166500         1.0000
  1.166650         1.0000
  1.166800         1.0000
  1.166950         1.0000
  1.167100         1.0000
  1.167250         1.0000
  1.167400         1.0000
  1.167550         1.0000
  1.167700         1.0000
  1.167850         1.0000
  1.168000         1.0000
  1.168150         1.0000
  1.168300         1.0000
  1.168450         1.0000
  1.168600         1.0000
  1.168750         1.0000
  1.168900         1.0000
  1.169050         1.0000
  1.169200         1.0000
  1.169350         1.0000
  1.169500         1.0000
  1.169650         1.0000
  1.169800         1.0000
  1.169950         1.0000
  1.170100         1.0000
  1.170250         1.0000
  1.170400         1.0000
  1.170550         1.0000
  1.170700         1.0000
  1.170850         1.0000
  1.171000         1.0000
  1.171150         1.0000
  1.171300         1.0000
  1.171450         1.0000
  1.171600         1.0000
  1.171750         1.0000
  1.171900         1.0000
  1.172050         1.0000
  1.172200         1.0000
  1.172350         1.0000
  1.172500         1.0000
  1.172650         1.0000
  1.172800         1.0000
  1.172950         1.0000
  1.173100         1.0000
  1.173250         1.0000
  1.173400         1.0000
  1.173550         1.0000
  1.173700         1.0000
  1.173850         1.0000
  1.174000         1.0000
  1.174150         1.0000
  1.174300         1.0000
  1.174450         1.0000
  1.174600         1.0000
  1.174750         1.0000
  1.174900         1.0000
  1.175050         1.0000
  1.175200         1.0000
  1.175350         1.0000
  1.175500         1.0000
  1.175650         1.0000
  1.175800         1.0000
  1.175950         1.0000
  1.176100         1.0000
  1.176250         1.0000
  1.176400         1.0000
  1.176550         1.0000
  1.176700         1.0000
  1.176850         1.0000
  1.177000         1.0000
  1.177150         1.0000
  1.177300         1.0000
  1.177450         1.0000
  1.177600         1.0000
  1.177750         1.0000
  1.177900         1.0000
  1.178050         1.0000
  1.178200         1.0000
  1.178350         1.0000
  1.178500         1.0000
  1.178650         1.0000
  1.178800         1.0000
  1.178950         1.0000
  1.179100         1.0000
  1.179250         1.0000
  1.179400         1.0000
  1.179550         1.0000
  1.179700         1.0000
  1.179850         1.0000
  1.180000         1.0000
  1.180150         1.0000
  1.180300         1.0000
  1.180450         1.0000
  1.180600         1.0000
  1.180750         1.0000
  1.180900         1.0000
  1.181050         1.0000
  1.181200         1.0000
  1.181350         1.0000
  1.181500         1.0000
  1.181650         1.0000
  1.181800         1.0000
  1.181950         1.0000
  1.182100         1.0000
  1.182250         1.0000
  1.182400         1.0000
  1.182550         1.0000
  1.182700         1.0000
  1.182850         1.0000
  1.183000         1.0000
  1.183150         1.0000
  1.183300         1.0000
  1.183450         1.0000
  1.183600         1.0000
  1.183750         1.0000
  1.183900         1.0000
  1.184050         1.0000
  1.184200         1.0000
  1.184350         1.0000
  1.184500         1.0000
  1.184650         1.0000
  1.184800         1.0000
  1.184950         1.0000
  1.185100         1.0000
  1.185250         1.0000
  1.185400         1.0000
  1.185550         1.0000
  1.185700         1.0000
  1.185850         1.0000
  1.186000         1.0000
  1.186150         1.0000
  1.186300         1.0000
  1.186450         1.0000
  1.186600         1.0000
  1.186750         1.0000
  1.186900         1.0000
  1.187050         1.0000
  1.187200         1.0000
  1.187350         1.0000
  1.187500         1.0000
  1.187650         1.0000
  1.187800         1.0000
  1.187950         1.0000
  1.188100         1.0000
  1.188250         1.0000
  1.188400         1.0000
  1.188550         1.0000
  1.188700         1.0000
