# Wavelength (um)  Transmission
  1.605000         0.0000
  1.605150         0.0000
  1.605300         0.0000
  1.605450         0.0000
  1.605600         0.0000
  1.605750         0.0000
  1.605900         0.0000
  1.606050         0.0000
  1.606200         0.0000
  1.606350         0.0000
  1.606500         0.0000
  1.606650         0.0000
  1.606800         0.0000
  1.606950         0.0000
  1.607100         0.0000
  1.607250         0.0000
  1.607400         0.0000
  1.607550         0.0000
  1.607700         0.0000
  1.607850         0.0000
  1.608000         0.0000
  1.608150         0.0000
  1.608300         0.0000
  1.608450         0.0000
  1.608600         0.0000
  1.608750         0.0000
  1.608900         0.0000
  1.609050         0.0000
  1.609200         0.0000
  1.609350         0.0000
  1.609500         0.0000
  1.609650         0.0000
  1.609800         0.0000
  1.609950         0.0000
  1.610100         0.0000
  1.610250         0.0000
  1.610400         0.0000
  1.610550         0.0000
  1.610700         0.0000
  1.610850         0.0000
  1.611000         0.0000
  1.611150         0.0000
  1.611300         0.0000
  1.611450         0.0000
  1.611600         0.0000
  1.611750         0.0000
  1.611900         0.0000
  1.612050         0.0000
  1.612200         0.0000
  1.612350         0.0000
  1.612500         0.0000
  1.612650         0.0000
  1.612800         0.0000
  1.612950         0.0000
  1.613100         0.0000
  1.613250         0.0000
  1.613400         0.0000
  1.613550         0.0000
  1.613700         0.0000
  1.613850         0.0000
  1.614000         0.0000
  1.614150         0.0000
  1.614300         0.0000
  1.614450         0.0000
  1.614600         0.0000
  1.614750         0.0000
  1.614900         0.0000
  1.615050         1.0000
  1.615200         1.0000
  1.615350         1.0000
  1.615500         1.0000
  1.615650         1.0000
  1.615800         1.0000
  1.615950         1.0000
  1.616100         1.0000
  1.616250         1.0000
  1.616400         1.0000
  1.616550         1.0000
  1.616700         1.0000
  1.616850         1.0000
  1.617000         1.0000
  1.617150         1.0000
  1.617300         1.0000
  1.617450         1.0000
  1.617600         1.0000
  1.617750         1.0000
  1.617900         1.0000
  1.618050         1.0000
  1.618200         1.0000
  1.618350         1.0000
  1.618500         1.0000
  1.618650         1.0000
  1.618800         1.0000
  1.618950         1.0000
  1.619100         1.0000
  1.619250         1.0000
  1.619400         1.0000
  1.619550         1.0000
  1.619700         1.0000
  1.619850         1.0000
  1.620000         1.0000
  1.620150         1.0000
  1.620300         1.0000
  1.620450         1.0000
  1.620600         1.0000
