# Wavelength (um)  Transmission
  1.473000         0.0000
  1.473130         0.0000
  1.473260         0.0000
  1.473390         0.0000
  1.473520         0.0000
  1.473650         0.0000
  1.473780         0.0000
  1.473910         0.0000
  1.474040         0.0000
  1.474170         0.0000
  1.474300         0.0000
  1.474430         0.0000
  1.474560         0.0000
  1.474690         0.0000
  1.474820         0.0000
  1.474950         0.0000
  1.475080         0.0000
  1.475210         0.0000
  1.475340         0.0000
  1.475470         0.0000
  1.475600         0.0000
  1.475730         0.0000
  1.475860         0.0000
  1.475990         0.0000
  1.476120         0.0000
  1.476250         0.0000
  1.476380         1.0000
  1.476510         1.0000
  1.476640         1.0000
  1.476770         1.0000
  1.476900         1.0000
  1.477030         1.0000
  1.477160         1.0000
  1.477290         1.0000
  1.477420         1.0000
  1.477550         1.0000
  1.477680         1.0000
  1.477810         1.0000
  1.477940         1.0000
  1.478070         1.0000
  1.478200         1.0000
  1.478330         1.0000
  1.478460         1.0000
  1.478590         1.0000
  1.478720         1.0000
  1.478850         1.0000
  1.478980         1.0000
  1.479110         1.0000
  1.479240         1.0000
  1.479370         1.0000
  1.479500         1.0000
  1.479630         1.0000
  1.479760         1.0000
  1.479890         1.0000
  1.480020         1.0000
  1.480150         1.0000
  1.480280         1.0000
  1.480410         1.0000
  1.480540         1.0000
  1.480670         1.0000
  1.480800         1.0000
  1.480930         1.0000
  1.481060         1.0000
  1.481190         1.0000
  1.481320         1.0000
  1.481450         1.0000
  1.481580         1.0000
  1.481710         1.0000
  1.481840         1.0000
  1.481970         1.0000
  1.482100         1.0000
  1.482230         1.0000
  1.482360         1.0000
  1.482490         1.0000
  1.482620         1.0000
  1.482750         1.0000
  1.482880         1.0000
  1.483010         1.0000
  1.483140         1.0000
  1.483270         1.0000
  1.483400         1.0000
  1.483530         1.0000
  1.483660         1.0000
  1.483790         1.0000
  1.483920         1.0000
  1.484050         1.0000
  1.484180         1.0000
  1.484310         1.0000
  1.484440         1.0000
  1.484570         1.0000
  1.484700         1.0000
  1.484830         1.0000
  1.484960         1.0000
  1.485090         1.0000
  1.485220         1.0000
  1.485350         1.0000
  1.485480         1.0000
  1.485610         1.0000
  1.485740         1.0000
  1.485870         1.0000
  1.486000         1.0000
  1.486130         1.0000
  1.486260         1.0000
  1.486390         1.0000
  1.486520         1.0000
  1.486650         1.0000
  1.486780         1.0000
  1.486910         1.0000
  1.487040         1.0000
  1.487170         1.0000
  1.487300         1.0000
  1.487430         1.0000
  1.487560         1.0000
  1.487690         1.0000
  1.487820         1.0000
  1.487950         1.0000
  1.488080         1.0000
  1.488210         1.0000
  1.488340         1.0000
  1.488470         1.0000
  1.488600         1.0000
  1.488730         1.0000
  1.488860         1.0000
  1.488990         1.0000
  1.489120         1.0000
  1.489250         1.0000
  1.489380         1.0000
  1.489510         1.0000
  1.489640         1.0000
  1.489770         1.0000
  1.489900         1.0000
  1.490030         1.0000
  1.490160         1.0000
  1.490290         1.0000
  1.490420         1.0000
  1.490550         1.0000
  1.490680         1.0000
  1.490810         1.0000
  1.490940         1.0000
  1.491070         1.0000
  1.491200         1.0000
  1.491330         1.0000
  1.491460         1.0000
  1.491590         1.0000
  1.491720         1.0000
  1.491850         1.0000
  1.491980         1.0000
  1.492110         1.0000
  1.492240         1.0000
  1.492370         1.0000
  1.492500         1.0000
  1.492630         1.0000
  1.492760         1.0000
  1.492890         1.0000
  1.493020         1.0000
  1.493150         1.0000
  1.493280         1.0000
  1.493410         1.0000
  1.493540         1.0000
  1.493670         1.0000
  1.493800         1.0000
  1.493930         1.0000
  1.494060         1.0000
  1.494190         1.0000
  1.494320         1.0000
  1.494450         1.0000
  1.494580         1.0000
  1.494710         1.0000
  1.494840         1.0000
  1.494970         1.0000
  1.495100         1.0000
  1.495230         1.0000
  1.495360         1.0000
  1.495490         1.0000
  1.495620         1.0000
  1.495750         1.0000
  1.495880         1.0000
  1.496010         1.0000
  1.496140         1.0000
  1.496270         1.0000
  1.496400         1.0000
  1.496530         1.0000
  1.496660         1.0000
  1.496790         1.0000
  1.496920         1.0000
  1.497050         1.0000
  1.497180         1.0000
  1.497310         1.0000
  1.497440         1.0000
  1.497570         1.0000
  1.497700         1.0000
  1.497830         1.0000
  1.497960         1.0000
  1.498090         1.0000
  1.498220         1.0000
  1.498350         1.0000
  1.498480         1.0000
  1.498610         1.0000
  1.498740         1.0000
  1.498870         1.0000
  1.499000         1.0000
  1.499130         1.0000
  1.499260         1.0000
  1.499390         1.0000
  1.499520         1.0000
  1.499650         1.0000
  1.499780         1.0000
  1.499910         1.0000
  1.500040         1.0000
  1.500170         1.0000
  1.500300         1.0000
  1.500430         1.0000
  1.500560         1.0000
  1.500690         1.0000
  1.500820         1.0000
  1.500950         1.0000
  1.501080         1.0000
  1.501210         1.0000
  1.501340         1.0000
  1.501470         1.0000
  1.501600         1.0000
  1.501730         1.0000
  1.501860         1.0000
  1.501990         1.0000
  1.502120         1.0000
  1.502250         1.0000
  1.502380         1.0000
  1.502510         1.0000
  1.502640         1.0000
  1.502770         1.0000
  1.502900         1.0000
  1.503030         1.0000
  1.503160         1.0000
  1.503290         1.0000
  1.503420         1.0000
  1.503550         1.0000
  1.503680         1.0000
  1.503810         1.0000
  1.503940         1.0000
  1.504070         1.0000
  1.504200         1.0000
  1.504330         1.0000
  1.504460         1.0000
  1.504590         1.0000
  1.504720         1.0000
  1.504850         1.0000
  1.504980         1.0000
  1.505110         1.0000
  1.505240         1.0000
  1.505370         1.0000
  1.505500         1.0000
  1.505630         1.0000
  1.505760         1.0000
  1.505890         1.0000
  1.506020         1.0000
  1.506150         1.0000
  1.506280         1.0000
  1.506410         1.0000
  1.506540         1.0000
  1.506670         1.0000
  1.506800         1.0000
  1.506930         1.0000
  1.507060         1.0000
  1.507190         1.0000
  1.507320         1.0000
  1.507450         1.0000
  1.507580         1.0000
  1.507710         1.0000
  1.507840         1.0000
  1.507970         1.0000
  1.508100         1.0000
  1.508230         1.0000
  1.508360         1.0000
  1.508490         1.0000
  1.508620         1.0000
  1.508750         1.0000
  1.508880         0.0000
  1.509010         0.0000
  1.509140         0.0000
  1.509270         0.0000
  1.509400         0.0000
  1.509530         0.0000
  1.509660         0.0000
  1.509790         0.0000
  1.509920         0.0000
  1.510050         0.0000
  1.510180         0.0000
  1.510310         0.0000
  1.510440         0.0000
  1.510570         0.0000
  1.510700         0.0000
  1.510830         0.0000
  1.510960         0.0000
  1.511090         0.0000
  1.511220         0.0000
  1.511350         0.0000
  1.511480         0.0000
  1.511610         0.0000
  1.511740         0.0000
  1.511870         0.0000
  1.512000         0.0000
